Bedrooms,Bathrooms,Location,Price
3,4,"Westlands Area, Westlands",25000000
3,4,Kilimani,23000000
2,2,Kilimani,9500000
3,4,"Riverside, Westlands",40300000
2,2,Lavington,13500000
1,1,"Westlands Area, Westlands",11400000
1,1,Lavington,6700000
2,2,"LAVINGTON, Lavington",7800000
2,2,"KILELESHWA, Kileleshwa",7800000
3,4,"KILELESHWA, Kileleshwa",11500000
4,4,"KILELESHWA, Kileleshwa",22000000
4,4,"KILIMANI, Kilimani",14600000
3,3,"0107J, Off - Genaral Mathenge Drive(Completion May 2025), Spring Valley, Westlands",23200000
2,1,Lavington,7000000
4,4,"0107J, Off - Genaral Mathenge Drive(Completion May 2025), Spring Valley, Westlands",29500000
2,2,"KILIMANI, Kilimani",7000000
2,3,"KILIMANI, Kilimani",14000000
2,2,"LAVINGTON, Lavington",9000000
2,2,"KILIMANI, Kilimani",9000000
2,2,"KILIMANI, Kilimani",8600000
2,2,"LAVINGTON, Lavington",8600000
3,3,"0106J, Kileleshwa Estate(Under Construction), Kileleshwa",19500000
2,2,"LAVINGTON, Lavington",11000000
3,4,"LAVINGTON, Lavington",22500000
1,1,"LAVINGTON, Lavington",7800000
2,2,"LAVINGTON, Lavington",9800000
2,2,"0107J, Kileleshwa Estate(Under Construction), Kileleshwa",13000000
1,1,"0107J, Kileleshwa Estate(Under Construction), Kileleshwa",7500000
2,2,"Riverside, Westlands",13000000
2,2,"Padmore Road, Kilimani",12000000
3,3,"Riverside, Westlands",17000000
3,3,"Riverside, Westlands",19000000
1,1,Kilimani,4000000
4,5,"Westlands Area, Westlands",84000000
1,1,Kileleshwa,4000000
10,10,Kileleshwa,750000000
3,3,Lavington,11000000
3,3,Lavington,11000000
4,4,Kileleshwa,260000
0,1,Kileleshwa,10000000
1,1,"LAVINGTON, Lavington",7000000
2,2,"Westlands, Westlands Area, Westlands",12500000
2,2,"LAVINGTON, Lavington",8800000
2,2,"KILELESHWA, Kileleshwa",7800000
1,1,"KILIMANI, Kilimani",4800000
1,1,"KILIMANI, Kilimani",4800000
2,2,"KILIMANI, Kilimani",7800000
0,1,"NGONG ROAD, Ngong Road",1900000
0,1,"NGONG ROAD, Dagoretti Corner",1900000
0,1,"NGONG ROAD, Kilimani",1900000
1,1,"Westlands Area, Westlands",7900000
2,2,"Westlands Area, Westlands",14150000
3,3,"Westlands, Westlands Area",15500000
5,6,Lavington,33000000
5,6,Kilimani,33000000
1,1,"CHURCH ROAD, Westlands Area, Westlands",5500000
2,2,"WESTLANDS, Westlands Area, Westlands",11700000
4,4,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",14500000
4,4,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",21200000
4,5,Kilimani,31000000
4,5,Lavington,42000000
4,5,"KILELESHWA, Kileleshwa",24500000
2,2,"KILELESHWA, Kileleshwa",7800000
3,4,"KILELESHWA, Kileleshwa",11500000
3,3,Kilimani,20000000
4,6,"Kil, Kileleshwa",28000000
1,1,"Garden Estate, Roysambu",10000000
1,1,"Garden Estate, Roysambu",6700000
4,3,"General Mathenge, Westlands",22000000
1,1,Lavington,5137860
2,2,Lavington,12381070
0,1,Kileleshwa,10000000
3,3,Kilimani,25000000
1,1,"Westlands Area, Westlands",7800000
2,2,"Westlands Area, Westlands",14500000
2,2,South C,55000000
1,2,"PQ9J+G3V, Nyeri Rd, Kileleshwa",6000000
2,3,"PQ9J+G3V, Kileleshwa Nyeri Rd, Kileleshwa",11000000
3,4,"PQ9J+G3V, Kileleshwa Nyeri Rd, Kileleshwa",16500000
3,4,Lavington,15000000
2,3,Lavington,12000000
2,3,Lavington,11000000
1,2,Lavington,7000000
3,3,"Westlands Area, Westlands",28500000
3,3,"0106J, Kilimani Estate, Kilimani",33000000
3,4,"KILELESHWA, Kileleshwa",19500000
2,2,"0106J, Near Sarit Centre, Westlands Area, Westlands",13500000
4,4,"Westlands Area, Westlands",76000000
0,1,"0106J, Kileleshwa Estate, Kileleshwa",6500000
2,2,"0106J, Denis Pritt, Kilimani",16200000
3,2,"Heri Road, Nyayo Estate, Embakasi",7500000
3,2,Kileleshwa,27000000
4,4,Kileleshwa,20000000
3,3,Lavington,13000000
2,1,Lavington,7500000
1,1,Lavington,5000000
5,5,"KILELESHWA, Kileleshwa",30000000
4,5,"KILELESHWA, Kileleshwa",24600000
5,,"KILIMANI, Kilimani",33500000
4,3,"Githuri Road, Parklands, Westlands",33000000
4,4,"Ngao Road, Parklands, Westlands",28000000
3,2,"Githuri Road, Parklands, Westlands",23000000
3,3,Valley Arcade,26000000
3,3,"Sierra Brooks Complex, Brookside, Westlands",24000000
4,5,"KILIMANI, Kilimani",26300000
3,3,Muthaiga,45000000
4,4,"KILIMANI, Kilimani",17000000
1,1,Lavington,6500000
1,1,"Westlands Area, Westlands",30000000
2,2,"Waiyaki Way, Westlands",36000000
3,3,"Westlands Area, Westlands",39000000
2,2,"Brookside, Westlands",19500000
3,2,"Brookside, Westlands",22500000
3,2,"Garden Estate, Roysambu",14000000
2,2,"Garden Estate, Roysambu",7800000
1,1,"Garden Estate, Roysambu",5300000
0,1,"Garden Estate, Roysambu",3200000
0,1,"Garden Estate, Roysambu",2700000
3,3,"Westlands Area, Westlands",13500000
3,3,"Westlands Area, Westlands",14500000
0,1,"Waiyaki Way, Westlands",6150000
1,1,"Westlands Area, Westlands",8200000
2,2,"Waiyaki Way, Westlands",14500000
3,2,"Westlands Area, Westlands",31000000
3,2,Imara Daima,7500000
4,4,Kileleshwa,23000000
2,2,"Riverside, Westlands",24300000
3,3,"Riverside, Westlands",37900000
3,4,"KILELESHWA, Kileleshwa",18000000
3,4,Kileleshwa,21500000
3,3,"KILELESHWA, Kileleshwa",13500000
2,2,"Westlands, WESTLANDS, Westlands Area, Westlands",11700000
3,4,"Othaya Road, Kileleshwa",19000000
1,1,"Westlands Area, Westlands",7700000
2,2,Kilimani,8700000
2,2,Kileleshwa,13500000
3,3,"Riverside Square, Riverside, Westlands",25000000
3,3,"Westlands, Westlands Area",19500000
3,2,Dennis Pritt,30000000
4,4,"General Mathenge, Westlands Area, Westlands",32000000
2,2,"KILIMANI, Kilimani",7000000
3,4,"KILIMANI, Kilimani",22500000
2,3,"KILIMANI, Kilimani",14000000
4,5,Kilimani,31000000
2,1,Kilimani,7000000
3,4,"RIVERSIDE, Riverside, Westlands",20500000
2,2,"LAVINGTON, Lavington",8600000
3,4,"LAVINGTON, Lavington",22500000
2,2,"LAVINGTON, Lavington",11000000
0,1,"NGONG ROAD, Dagoretti Corner",1900000
0,1,"KILIMANI, Kilimani",1900000
0,1,"NGONG ROAD, Ngong Road",1900000
3,4,"KILELESHWA, Kileleshwa",19500000
2,2,"KILELESHWA, Kileleshwa",9000000
3,4,"KILELESHWA, Kileleshwa",15500000
4,5,"KILELESHWA, Kileleshwa",24500000
1,1,"Westlands, Church Road, Westlands Area, Westlands",6500000
2,2,"Westlands, Church Road, Westlands Area, Westlands",11900000
4,4,"Westlands, Church Road, Westlands Area, Westlands",21200000
4,4,"Westlands, Church Road, Westlands Area, Westlands",14000000
1,1,"Kilimani, Kilimani",5500000
3,4,"KILIMANI, Kilimani",22500000
2,2,"Kilimani, Kilimani",7400000
0,1,"Kilimani, Kilimani",5000000
3,3,"Hatheru Road, Lavington",16500000
1,2,"Westlands Road., Westlands Area, Westlands",8500000
4,5,Kileleshwa,21500000
2,2,Kileleshwa,7000000
2,1,Kilimani,7000000
3,3,Kileleshwa,13000000
2,2,Kileleshwa,9000000
1,1,Kileleshwa,4000000
3,3,Lavington,13000000
5,5,Kilimani,32000000
1,1,Nairobi West,3500000
1,2,"Westlands, Westlands Area",7500000
3,4,"Westlands Area, Westlands",29000000
2,2,"Kirawa Road, Kitisuru, Westlands",12000000
4,5,"KILELESHWA, Kileleshwa",23000000
4,4,"KILELESHWA, Kileleshwa",22000000
4,4,"Kilimani, Kilimani",14800000
4,4,"Kilimani, Kilimani",14600000
2,2,"Kilimani, Kilimani",7000000
2,3,"Kilimani, Kilimani",14000000
3,4,"Kilimani, Kilimani",22500000
2,2,Kileleshwa,7700000
4,4,"Westlands, Westlands Area",16000000
1,1,Kileleshwa,5200000
1,1,Lavington,8000000
3,3,Kilimani,11000000
2,2,Kilimani,7000000
3,3,Kileleshwa,13000000
2,1,"Riverside, Westlands",7900000
2,2,"Riverside, Westlands",13000000
1,1,"Westlands Area, Westlands",6500000
0,1,"Wanyee Road, Ngong Road",2000000
3,3,Kileleshwa,11000000
3,3,Lavington,20000000
4,4,"General Mathenge, Westlands",59900000
3,3,"Parklands, Westlands",38000000
3,4,Kilimani,23000000
4,5,Lavington,20000000
3,3,Lavington,13000000
3,3,Lavington,24000000
4,5,"General Mathenge, Westlands",51000000
2,2,"General Mathenge, Westlands Area, Westlands",19500000
3,3,"General Mathenge, Westlands Area, Westlands",24000000
2,2,"Riverside Drive, Riverside, Westlands",24000000
1,1,Kilimani,3700000
2,2,"Kilimani Nairobi, Kilimani",13000000
4,4,Lavington,130000000
2,2,"Westlands Road, Westlands Area, Westlands",15040000
1,1,"Westlands Road, Westlands Area, Westlands",9120000
3,3,"Parklands, Westlands",23000000
0,1,Naivasha Road,2700000
0,1,"Garden Estate, Roysambu",3400000
3,4,Kileleshwa,21000000
1,2,"Westlands Area, Westlands",7600000
3,3,Kileleshwa,13000000
1,1,"Kindaruma Road, Kilimani",6000000
3,4,"Westlands, Westlands Area",17700000
2,3,"Westlands, Westlands Area",12500000
3,4,"Westlands, Westlands Area",21000000
3,5,Kileleshwa,23000000
4,6,"Spring Valley, Westlands Area, Westlands",28000000
2,2,Kilimani,7000000
1,1,"Westlands Area, Westlands",6500000
3,3,"Westlands Area, Westlands",11800000
2,2,"Kilimani - Kilimani, Kilimani",9000000
1,1,"Kilimani - Kilimani, Kilimani",6000000
2,2,"Kindaruma Road, Kilimani",9000000
1,1,"Kindaruma Road, Kilimani",7000000
3,3,"Westlands, Westlands Area",20000000
1,1,"Westlands, Westlands Area",11000000
2,2,"Westlands, Westlands Area",14500000
2,2,"Westlands Area, Westlands",9000000
4,4,Lavington,20000000
3,3,Lavington,13000000
2,2,Lavington,7500000
4,4,Kileleshwa,20000000
3,3,Kileleshwa,11000000
2,2,Kileleshwa,7000000
1,1,Kileleshwa,4000000
4,4,Kilimani,13000000
3,3,Kilimani,13000000
2,1,Kilimani,7000000
2,2,"LAVINGTON, Lavington",8800000
5,5,"KILIMANI, Kilimani",33500000
2,2,"KILIMANI, Kilimani",15000000
3,3,"KILIMANI, Kilimani",22500000
3,3,"Westlands Area, Westlands",11800000
3,3,Lavington,13000000
2,1,Lavington,7500000
2,2,"Westlands Area, Westlands",9000000
1,1,"Westlands Area, Westlands",6500000
3,4,"Riverside, Westlands",38500000
2,3,"Riverside, Westlands",25000000
3,2,"Waiyaki Way - Westlands Road - Westlands, Westlands Area, Westlands",20500000
3,3,"Waiyaki Way - Westlands Road - Westlands, Westlands Area, Westlands",28500000
2,3,"Waiyaki Way - Westlands Road - Westlands, Westlands Area, Westlands",22500000
1,2,"Waiyaki Way - Westlands Road - Westlands, Westlands Area, Westlands",11400000
4,5,Lavington,20000000
3,3,Lavington,16000000
2,3,"Kilimani - Ngong Road - Yaya Centre, Kilimani",13000000
2,3,Lavington,13000000
3,5,"Kilimani - Ngong Road - Yaya Centre, Kilimani",22500000
6,7,Lavington,33500000
5,7,"Kilimani - Ngong Road - Yaya Centre, Kilimani",33500000
5,6,Lavington,26300000
4,6,"Kilimani - Ngong Road - Yaya Centre, Kilimani",26300000
4,5,Lavington,22500000
2,2,Kilimani,9500000
