Bedrooms,Bathrooms,Location,Price
1,1.0,Kitisuru,4600000
2,2.0,Kilimani,7500000
3,4.0,Spring Valley,24000000
4,6.0,Spring Valley,31000000
3,5.0,Kileleshwa,20000000
3,3.0,Kilimani,13000000
2,3.0,Kilimani,11500000
4,6.0,Kilimani,26300000
2,3.0,Kileleshwa,9800000
5,7.0,Kilimani,33500000
0,1.0,Dagoretti,1900000
1,1.0,Westlands,7600000
3,4.0,Lavington,11500000
1,1.0,Lavington,4100000
2,2.0,Westlands,12400000
3,4.0,Westlands,18600000
3,3.0,Kilimani,28000000
3,3.0,Riverside,950000000
5,5.0,Kilimani,34000000
4,5.0,Kileleshwa,24500000
4,5.0,Kileleshwa,23500000
3,4.0,Kileleshwa,19500000
3,3.0,Kilimani,20000000
2,2.0,Kilimani,15000000
2,2.0,Kilimani,8600000
3,3.0,Kilimani,12000000
3,4.0,Kileleshwa,15000000
2,4.0,Kileleshwa,13500000
2,3.0,Westlands,18000000
2,3.0,Kileleshwa,14000000
2,2.0,Kilimani,10000000
1,1.0,Roysambu,5200000
3,5.0,Kilimani,16000000
4,6.0,Kilimani,26000000
0,1.0,Roysambu,2500000
2,2.0,Kilimani,8800000
1,1.0,Kilimani,7200000
2,2.0,Kilimani,7700000
1,1.0,Kilimani,6700000
3,4.0,Kileleshwa,16500000
2,3.0,Lavington,20000000
3,3.0,Parklands,15900000
3,3.0,Westlands,21600000
2,2.0,Westlands,15800000
2,2.0,Kilimani,9900000
2,2.0,Kilimani,14500000
2,2.0,Kitisuru,9999999
1,1.0,Westlands,13000000
4,4.0,Kileleshwa,24600000
1,1.0,Westlands,8800000
3,3.0,Kileleshwa,23500000
0,1.0,Parklands,6500000
2,2.0,Kitisuru,10000000
3,3.0,Westlands,32000000
1,1.0,Kilimani,5700000
1,1.0,Kileleshwa,6600000
1,1.0,Westlands,6750000
2,2.0,Kitisuru,9500000
4,4.0,Kilimani,25000000
4,4.0,Spring Valley,35500000
1,1.0,Lavington,6730000
0,1.0,Lavington,5590000
2,2.0,Westlands,14200000
1,1.0,Westlands,8300000
0,1.0,Lavington,4890000
0,1.0,Westlands,6800000
3,3.0,Kilimani,16500000
1,1.0,Westlands,8300000
3,4.0,Westlands,23000000
3,3.0,Kilimani,13000000
4,5.0,Kileleshwa,21000000
2,3.0,Kileleshwa,8500000
0,1.0,Westlands,6600000
3,3.0,Lavington,18000000
2,2.0,Lavington,10600000
1,1.0,Westlands,7650000
2,2.0,Westlands,13000000
3,3.0,Westlands,19500000
1,1.0,Westlands,8300000
3,3.0,Westlands,13500000
2,2.0,Westlands,11500000
0,1.0,Westlands,5800000
3,3.0,Lavington,18000000
3,4.0,Westlands,23000000
4,6.0,Kileleshwa,24500000
2,2.0,Kileleshwa,13500000
0,1.0,Kileleshwa,4500000
1,1.0,Lavington,7880000
3,3.0,Westlands,13900000
3,3.0,Kilimani,11100000
3,3.0,Westlands,40000000
2,2.0,Kilimani,7600000
0,1.0,Lavington,5290000
1,1.0,Lavington,6930000
2,2.0,Lavington,10890000
