Bedrooms,Bathrooms,Location,Price
4,5.0,Lavington,20000000
4,5.0,Kileleshwa,20000000
3,4.0,Riverside,25000000
2,2.0,Westlands,8000000
2,3.0,Kileleshwa,8500000
3,3.0,Kileleshwa,16000000
1,2.0,Thika,9700000
3,4.0,Kileleshwa,15500000
3,3.0,Riverside,28000000
3,2.0,Westlands,31000000
4,5.0,Kileleshwa,21000000
2,3.0,Kilimani,14000000
2,2.0,Kilimani,8780000
3,4.0,Riverside,45000000
4,6.0,Kilimani,26300000
2,2.0,Kileleshwa,13500000
2,2.0,Westlands,10500000
3,4.0,Riverside,19000000
2,2.0,Westlands,10000000
3,4.0,Westlands,29000000
4,4.0,Westlands,64000000
2,2.0,Kilimani,15000000
3,3.0,Riverside,35000000
3,3.0,Parklands,22000000
3,4.0,Westlands,27000000
4,5.0,Lavington,20000000
3,4.0,Lavington,11500000
3,3.0,Kasarani,8500000
2,2.0,Kileleshwa,9000000
4,3.0,Kiambu,16500000
3,4.0,Kileleshwa,24000000
3,3.0,Kileleshwa,27000000
2,2.0,Kilimani,7400000
2,2.0,Westlands,17199000
2,2.0,Lavington,7000000
3,3.0,Kileleshwa,24000000
1,1.0,Westlands,6500000
0,1.0,Roysambu,2500000
2,2.0,Riverside,12600000
1,2.0,Kileleshwa,8500000
0,1.0,Kilimani,5000000
2,2.0,Westlands,12400000
4,4.0,Westlands,21200000
1,1.0,Ngong Road,1900000
4,6.0,Kilimani,26000000
2,1.0,Kilimani,7000000
4,4.0,Kileleshwa,260000
0,1.0,Kilimani,4900000
2,2.0,Kilimani,7800000
1,1.0,Ngong Road,4000000
4,4.0,Kileleshwa,22000000
4,5.0,Lavington,32000000
2,2.0,Kilimani,14500000
2,2.0,Westlands,14500000
2,3.0,Kileleshwa,12500000
3,4.0,Kileleshwa,19000000
1,1.0,Westlands,7800000
3,3.0,Parklands,40000000
1,1.0,Westlands,9100000
4,4.0,Kileleshwa,22800000
3,3.0,Riverside,17000000
1,1.0,Westlands,7000000
2,2.0,Kilimani,9500000
4,4.0,Kilimani,14600000
4,4.0,Kilimani,13000000
2,2.0,Westlands,22400000
1,2.0,Kilimani,6800000
1,1.0,Westlands,7900000
3,3.0,Parklands,15900000
2,1.0,Westlands,11850000
2,2.0,Lavington,8800000
4,6.0,Kileleshwa,81000000
3,4.0,Kileleshwa,19500000
4,4.0,Westlands,14000000
1,1.0,Roysambu,5200000
0,1.0,Kileleshwa,6500000
2,1.0,Naivasha Road,10000000
3,4.0,Kileleshwa,11500000
2,2.0,Westlands,10500000
0,1.0,Lavington,5590000
3,2.0,Madaraka,12000000
3,4.0,Westlands,27000000
2,1.0,South B,10000000
5,5.0,Kileleshwa,30000000
1,1.0,Westlands,6500000
3,2.0,Embakasi,7500000
3,3.0,Parklands,40000000
1,1.0,Kileleshwa,5000000
3,,Westlands,31059000
2,3.0,Kilimani,8600000
2,2.0,Kileleshwa,13000000
2,2.0,Mombasa Road,7000000
2,3.0,Westlands,11300000
4,5.0,Kileleshwa,23000000
1,1.0,Westlands,6000000
3,3.0,Riverside,950000000
3,4.0,Kileleshwa,16500000
3,4.0,Kileleshwa,19500000
5,7.0,Kilimani,33500000
2,2.0,Westlands,14200000
2,3.0,Westlands,12100000
3,3.0,Westlands,28500000
4,4.0,Parklands,19000000
1,1.0,Kilimani,6800000
3,4.0,Westlands,22000000
2,2.0,Kileleshwa,9500000
4,4.0,Kilimani,14600000
4,4.0,Westlands,24000000
3,3.0,Westlands,17700000
0,1.0,Westlands,6500000
4,4.0,Spring Valley,58000000
3,3.0,Kileleshwa,17500000
1,1.0,State House,9600000
2,3.0,Kitisuru,9500000
2,2.0,Kilimani,7000000
2,2.0,Westlands,12700000
2,1.0,Lavington,7000000
1,1.0,Lavington,7000000
2,2.0,Westlands,15500000
1,1.0,Kileleshwa,6000000
2,2.0,Kilimani,9300000
2,2.0,Westlands,11500000
2,2.0,Mombasa Road,8700000
3,3.0,Westlands,24000000
4,5.0,Kileleshwa,24500000
1,1.0,Parklands,6500000
1,2.0,Westlands,8500000
1,1.0,Kilimani,4000000
3,3.0,Westlands,32000000
2,2.0,Westlands,11000000
3,3.0,Westlands,11800000
3,4.0,Kilimani,23000000
2,2.0,Kilimani,6900000
3,3.0,Parklands,20000000
2,2.0,Westlands,9000000
4,5.0,Westlands,51000000
2,2.0,Kileleshwa,13500000
1,1.0,Riverside,12800000
