iter	RMSE
964	5573452.533
965	5573361.06
966	5573343.754
967	5573329.772
968	5573316.245
969	5573241.846
970	5573181.24
971	5573154.417
972	5573121.002
973	5573073.137
974	5573007.394
975	5573005.804
976	5572979.034
977	5572955.839
978	5572946.092
979	5572885.784
980	5572880.098
981	5572841.049
982	5572835.754
983	5572707.781
984	5572660.347
985	5572627.811
986	5572614.276
987	5572598.197
988	5572541.236
989	5572484.167
990	5572452.907
991	5572384.694
992	5572314.557
993	5572289.98
994	5572253.694
995	5572222.181
996	5572213.47
997	5572175.4
998	5572173.165
999	5572116.239
